13974266	CoffeeMachine	쿠조 NPC-C1	미수령에 대한 대책이 빨리 이루어져서 좋았어요	미수령에 대한 대책이 빨리 이루어져서 좋았어요	80	옥션	2021.06.18.	ja****	[]
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	나를 위한 선물로 커피머신 하나 써보려고 일리, 돌체구	나를 위한 선물로 커피머신 하나 써보려고 <br> 일리, 돌체구스토, 네스프레소, 버츄오 등등 정말 하나하나 비교후기 살펴보면서 일주일간 찾아봤네요. <br>  <br> **가장 중요한 부분** <br> - 라떼를 뽑을 수 있는것 <br> - 부피가 크지 않을것 <br> - 고급스러운 색상 <br>  <br> 위의 기준으로 찾아보니 일리와 네스프레소는 라떼가 다양하지 않거나 없어서 패스. <br> 버츄오와 돌체구스토 중에서 고르려다가 <br> 최근에 지니오s 터치가 나왔다고 인스타에서 우연치않게 본 후로 마음에 쏙 들었어요. <br> 게다가 캡슐이 다양하고 스타벅스 라인이 있는 돌체구스토로 최종 결정했네요. <br> 투자하는 김에 오래슬 생각하고 그 중에서 가장 최신제품으로 구매하였습니다 <br>  <br> **개봉 후 첫 느낌** <br> - 색상이 은은해서 고급스러워보인다 <br> - 물통이 세척이 편해보인다 <br> - 터치가 생각보다 잘 된다 <br>  <br> **걱정되는 단점** <br> - 커피가 잘맞는 체질이 아닌데 많이 마실것 같다..ㅎ <br> - 빨간선이 눈에 잘 띈다 (다른선과 헤깔리지 않아서 장점도 됨) <br>  <br> 첫 커피머신이라서 설렘반 기대반으로 투자했는데 생각보다 더 마음에 듭니다.  <br> 신제품이라 후기 영상이 많지 않아서 걱정했지만 지니오S 베이직, 플러스에 이어서 후속모델이다보니 보장이 되어있는것 같네요. <br> 그리고 기능이 다양해서 나중에 에스프레소 부스터도 한번 사용하고 기회되면 후기 올리겠습니다. <br>  <br> 가격대비 만족합니다. 저는 추천으로 마무리하겠습니다. 읽어주셔서 감사합니다. 	100	SSG.COM	2021.04.11.	so****	[]
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	최고예요	바로 보내주셨지만 택배사 연휴기간이 겹쳐 좀 늦게 받아서 지금 일주일 정도 사용해봤네요.재택근무 하느라 인스턴트만 오래 마시다보니 향이 좋은 커피가 마시고 싶어 부담스럽지 않은 가격대의 제품 찾다가 주문했어요.크기도 작고 작동도 간편하고 기분에 따라 종류별로 다른 향과 산미와 농도를 즐길수 있어 좋고,웰컴쿠폰으로 저렴하게 캡슐 더 구매해서 넉넉하게 쟁여두니 뿌듯합니다.다만, 다 내리고 나서도 한두 방울씩 한참을 똑똑 떨어져 내리는데, 에스프레스같은 경우에는 거의 2분 가까이 맺혀서 떨어지더라구요. 받침대가 있으니 그냥 무시할 수 있는데, 신경이 쓰이는건 사실입니다.불면증 때문에 하루 한 잔 정도만 마시던 커피가 하루 두 잔으로 늘었지만 인스턴트와 원두의 차이인지 몰라도 생각보다 수월하게 잠들어서 다행이고,커피찌꺼기 말려서 강아지패드전용 쓰레기통이나 생선 구운 후라이팬이나 신발장 옷장 등 탈취제로 쓰니 효과도 좋아서 여러가지로 만족스런 구매였습니다.	100	11번가	2021.08.25.	fa****	[]
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	지니오 터치 매우 만족합니다  돌체구스토 - 네스프레소	지니오 터치 매우 만족합니다 <br> 돌체구스토 - 네스프레소 - 일리 순서대로 다 사봤는데 결국 돌체구스토로 돌아가네요 <br> 일단 자동이라 원하는만큼 물양 조절해서 추출할 수 있어서 출근준비할때 왕편합니다 <br> 터치 컨트롤러 : 스마트폰 터치 수준 같아요 아주 잘됩니다 <br> 온도 조절 기능 : 아아 먹고싶을땐 중온으로 추출해서 얼음넣으니 좋아요 <br> 부스트 : 손님들이 진짜 카페같다고 하네요 <br> 외관 : 무광이라 고급지고 스포츠카? 같은 느낌이 드네요 <br> 그외로 돌체는 캡슐 종류가 다양해서 골라먹는 재미가 있어요 <br> 스타벅스도 가능하고 라떼 종류도 있고 초코?도 있고 가성비 좋습니다 <br> 고민하지마세요~	100	SSG.COM	2021.04.11.	ju****	[]
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	지니오 터치 매우 만족합니다  돌체구스토 - 네스프레소	지니오 터치 매우 만족합니다 <br> 돌체구스토 - 네스프레소 - 일리 순서대로 다 사봤는데 결국 돌체구스토로 돌아가네요 <br> 일단 자동이라 원하는만큼 물양 조절해서 추출할 수 있어서 출근준비할때 왕편합니다 <br> 터치 컨트롤러 : 스마트폰 터치 수준 같아요 아주 잘됩니다 <br> 온도 조절 기능 : 아아 먹고싶을땐 중온으로 추출해서 얼음넣으니 좋아요 <br> 부스트 : 손님들이 진짜 카페같다고 하네요 <br> 외관 : 무광이라 고급지고 스포츠카? 같은 느낌이 드네요 <br> 그외로 돌체는 캡슐 종류가 다양해서 골라먹는 재미가 있어요 <br> 스타벅스도 가능하고 라떼 종류도 있고 초코?도 있고 가성비 좋습니다 <br> 고민하지마세요~	100	SSG.COM	2021.04.11.	ju****	[]
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	이전에 돌체구스토 드롭 머신을 사용하고 있다가 얼마전 ...	이전에 돌체구스토 드롭 머신을 사용하고 있다가 얼마전 동생이 커피머신 갖고 싶다고 해서 쓰던 머신을 자의반타의반으로 뺏기게 되어, 새로 나온 지니오s 터치를 구매하게 되었어요.기존 드롭도 레드색상이면서 괜찮긴 했는데, 이번 터치는 시크한 무광 그레이 컬러에 유선형의 부드러운 곡선의 디자인이라 더욱 세련되고 고급스러운 느낌이 나고 폭도 11cm 정도 밖에 안돼서 어디든 비치가 가능하네요.돌체구스토 커피머신 중에서 가장 작으면서도 인테리어 효과도 나는거 같아 넘 맘에 듭니다.	100	옥션	2021.04.10.	ey****	"['<img src=""http://bampic.auction.co.kr/v1/983/780/c318780983/00030/c318780983188508103000.jpg"" alt=""이전에 돌체구스토 드롭 머신을 사용..."" onerror=""this.src=\'http://img.danawa.com/new/noData/img/noImg_160.gif\'"">', '<img src=""http://bampic.auction.co.kr/v1/983/780/c318780983/01030/c318780983188508103000.jpg"" alt=""이전에 돌체구스토 드롭 머신을 사용..."" onerror=""this.src=\'http://img.danawa.com/new/noData/img/noImg_160.gif\'"">', '<img src=""http://bampic.auction.co.kr/v1/983/780/c318780983/03030/c318780983188508103000.jpg"" alt=""이전에 돌체구스토 드롭 머신을 사용..."" onerror=""this.src=\'http://img.danawa.com/new/noData/img/noImg_160.gif\'"">', '<img src=""http://bampic.auction.co.kr/v1/983/780/c318780983/04030/c318780983188508103000.jpg"" alt=""이전에 돌체구스토 드롭 머신을 사용..."" onerror=""this.src=\'http://img.danawa.com/new/noData/img/noImg_160.gif\'"">', '<img src=""http://bampic.auction.co.kr/v1/983/780/c318780983/04030/c318780983188508103001.jpg"" alt=""이전에 돌체구스토 드롭 머신을 사용..."" onerror=""this.src=\'http://img.danawa.com/new/noData/img/noImg_160.gif\'"">']"
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	배송은 주문한지 하루만에 왔습니다. 커피머신 두번째 사용해 보는데 역시 좋네요. 특히 지니오S 터치는 신...	배송은 주문한지 하루만에 왔습니다. 커피머신 두번째 사용해 보는데 역시 좋네요. 특히 지니오S 터치는 신상 캡슐머신답게 터치패드 조작으로 물양조절, 온도조절, 커피 아로마 부스터 모드 등 스마트한 기능 탑재되어 있네요. 사이즈는 다른 머신들보다 작아지면서 기능은 더욱 스마트해 진게 역신 최신상은 뭐가 달라도 다르다는 생각이 들었어요 ㅎㅎ 코로나로 밖에 나가기가 무서운 요즘에 집에서 맘대로 아이스커피도 내려 먹고, 라떼도 만들어 먹고 넘 좋은거 같아요	100	현대Hmall	2021.04.11.	dl****	[]
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	재택근무를 위한 최애템!!	남편이 이번달부터 재택근무를 시작해서 집에있다보니 더 신경이 쓰이더라구요. 일리커피는 라떼가 없어서 밑에 카페가서 제돈주고 사마셨는데 이제는 아깝더라구요.돈도아끼고 맘편히 마시라고 알아보니 디자인도 너무 마음에들고 색상도 고급스러워서 집  분위기가 더 사는것 같은 효과도 있네요♡소음은 일리보다 훨씬 조용하고 추출도 체감상 조굼 더 빠른것 같네요. 새거라 그런가요??^^다음달부터 결혼식이 많은데 조굼 더 써보고 결혼선물로 해야겠어요~~♡	100	G마켓	2021.04.11.	so****	"['<img src=""http://bampic.gmarket.co.kr/v1/292/301/2083301292/01489/2083301292348410848900.jpg"" alt=""남편이 이번달부터 재택근무를 시작..."" onerror=""this.src=\'http://img.danawa.com/new/noData/img/noImg_160.gif\'"">', '<img src=""http://bampic.gmarket.co.kr/v1/292/301/2083301292/02489/2083301292348410848900.jpg"" alt=""남편이 이번달부터 재택근무를 시작..."" onerror=""this.src=\'http://img.danawa.com/new/noData/img/noImg_160.gif\'"">']"
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	잘 마시고 있긴 한데 엄청 편리하진 않아요 큰컵 놓기엔	잘 마시고 있긴 한데 엄청 편리하진 않아요 <br> 큰컵 놓기엔 좁아서 어렵구요 캡슐 넣고 뺄때도 첨엔 놓쳐서 두어번 우유에 빠뜨렸어요 <br> 터치도 한달 이상 쓰니까 잘안먹히고 느리네요 <br> 돈 더주고 좀더 큰거로 살걸 그랬어요 <br> 네스프레소 캡슐이 더 깔끔하고 맛있는거같아요  <br> 다쓴캡슐은 물이 안빠져서 첨엔 다뜯어서 버렸는데  <br> 지금은 그냥 버려요 그게좀 불편하네요 적응이  필요해요 <br> 콜롬비아 룽고랑 콜드브루 캡슐은 나름 맛나요 <br> 저렴한만큼 감안하고 써야할것 같아요	100	신세계몰	2021.06.30.	ss****	[]
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	물이 안나옵니다. 고객센터에 전화하니 A/S를 받으라는데 새상품을 왜 고쳐서 사용해야하는지도 모르겠고요...	물이 안나옵니다. 고객센터에 전화하니 A/S를 받으라는데 새상품을 왜 고쳐서 사용해야하는지도 모르겠고요이미 작동안되는 자체로 불량임이 자명한데도 왜 반품이 안되는건지도 모르겠습니다. 엄청나게 어려운 작동법도 아니고 고객센터 전화하고 유튜브에서 세정 장면 나오는 영상을 찾게되어 시청해보니 버튼 누르면 물이 바로 나와야 정상이더군요. 너무 어이없습니다. 에이치몰 상담자는 판매만 했기때문에 자기네는 책임없다고 나오고.. 너무 불쾌하고 스트레스 받네요..	20	현대Hmall	2021.08.10.	ju****	[]
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	지마켓 세일로 돌체구스토 지니오S 터치 커피머신 득템이요!!	사고싶던 커피머신을 지마켓 세일로 저렴하게 구매! 스벅컵, 스벅캡슐까지! 너무 좋아요실물 너무 귀엽고 작은게 커피도 잘나오고 완전 득템이요온도 조절이 되니까 넘 좋네요 터치식이라 편해요베이직이랑 고민했는데 터치로 하길 잘했어요! 굿!오자마자 설치해서 스벅캡슐로 커피 내려보니 까페 커피맛 그대로 넘 맛있어요^^ 아로마 부스터 기능까지!! 짱????커피 덕후에겐 최고의 아이템이네요!!	100	G마켓	2021.09.07.	du****	"['<img src=""http://bampic.gmarket.co.kr/v1/300/877/2104877300/00734/2104877300358227173400.jpg"" alt=""사고싶던 커피머신을 지마켓 세일로 ..."" onerror=""this.src=\'http://img.danawa.com/new/noData/img/noImg_160.gif\'"">']"
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	보통이에요	일리를 오랫동안 사용하면서 가족들이 단 것도 먹고 싶다고 하길래 돌체구스토도 구매했습니다 물통에 물이 맺혀있고 아래로는 고여있던데 테스트를 해서 그렇다고 하지만 영 이해가 되지 않습니다 그렇다면 완전히 건조된 상태로 보내야 하는 게 당연한 것일텐데 마치 새 것이 아닌 듯한 제품을 받은 느낌이네요.. 게다가 우유캡슐을 내릴때면 기계의 틈? 따라 질질흘러나오더라구요...ㅠㅠ이걸 어찌해야할지....	60	11번가	2021.05.01.	ek****	[]
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	조작은 상당히 불편...	조작이 너무 불편해요...누르는 순서자체도 명기가 안되어이ㅛ고 랜덤이고...ㅠ...직관적이지가 않아요...그리구 캡슐을 정성들여 만든건 알겠지만 분리수거가 불편하고 쓰레기가 많이나오네요..캡슐은 9박스 시켰고 커피머신세트 시켜서 호옥시나 서비스 주시나 했는데 그런건 없었으니 사실분들은 참고하세요!	60	G마켓	2021.05.17.	pu****	"['<img src=""http://bampic.gmarket.co.kr/v1/856/305/2083305856/00253/2083305856350289225300.jpg"" alt=""조작이 너무 불편해요...누르는 순서..."" onerror=""this.src=\'http://img.danawa.com/new/noData/img/noImg_160.gif\'"">']"
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	좋아요	많이 생각하고 구매한건데 나름 만족합니다..터치가 편할줄 알았는데 잘 안되네요..익숙하지 않아서인지...그냥 다이얼식이 좋을수도 있을거 같아요..물통이 작아서 아메리카노 두잔 연속 추출하기빠듯합니다.. 혼자 사용하긴 좋을듯 합니다추출압력이15바라 쫌더 높았음 하는 아쉬움듭니다..	80	11번가	2021.05.27.	km****	[]
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	최고예요	커피를 좋아하는 일인으로써 커피머신 최근거 나오기까지 살까말까 고민만 했었는데 맘먹고 최근거 샀어요 정말 자리차지하지도 않고 앙증맞은게 너무 예쁘네요 첨에는 물이 안나와서 고장인가? 전화해야되나?하고 걱정했는데 다행히 불량은 아닌것 같아 맘이 놓이네요  매일 한잔씩 맛있게  마실것 같아요	100	11번가	2021.09.11.	lm****	[]
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	최고예요	커피를너무좋아하는 1인으로서 정~~~~ 말좋아요너무편해졌구요 같이보내주신 하우스블랜드캡슐도 맛있어요 산미는안나구요 고소하니 이제 카페 안가도되겠어요♡^^♡ 고딩 아들도 이제막커피입문을했는데 입맛에 잘맛데요다른캡슐도 주문해서 먹어봐야겠어요^^	100	11번가	2021.05.21.	ch****	[]
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	좋아요	디자인 이쁘고 작동부분도 터치식으로 깔끔하게 구성되어 있고 커피도 맛있네요 다만 아쉬운점은 배송이 조금 느리고 전원선 색깔이 빨간색이 아니고 검정색이나 흰색으로 되었으면 좋았겠다는 생각이 드네요	80	11번가	2021.05.07.	ro****	[]
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	카페에서 커피 사먹는건 한계가 있고 집에서 블랙커피 타 먹으면 맛이 없어서 주문해봤는데 기대이상 만족...	카페에서 커피 사먹는건 한계가 있고 집에서 블랙커피 타 먹으면 맛이 없어서 주문해봤는데 기대이상 만족해요카페 가는것도 훨씬 줄었구요좋아하는커피 먹고 싶을때마다 마시니까 좋네요저는 백프로 만족입니다	100	현대Hmall	2021.07.26.	ca****	[]
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	좋아요	기계와 캡슐을 동시에 구매했는데 기계가 먼저와서 아직 커피맛은 못봤어요.  그래도 맛있을꺼라 기대해요.기계는 컴팩트하고 귀여워요.캡슐도착하는대로 맛있게 내려먹어보려구요.	80	11번가	2021.08.12.	ny****	[]
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	최고예요	일단 작고 가벼워서 만족 물통이 작은건 어쩔수없음 하지만 캡슐커피머신이 다그렇죠! ㅎㅎ 터치식이라 편하고 같이온 캡슐 커피도 맛있었어요 ~! 다른 커피캡슐들도 사서 써보려구요><	100	11번가	2021.06.06.	du****	[]
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	빅스마일 덕분에 커피머신 득템^___^♡	너무 좋아요 심심하면 커피 내려 먹을 듯함이...ㅋㅋㅋ캡슐로 하는거라 넘나 간편 빅스마일데이 덕분에 쿠폰 적용해서 구매해서 완전 득템 했어요!!!!터치라 간편하고 스벅 노트 넘 이뻐요????	100	G마켓	2021.05.18.	jo****	"['<img src=""http://bampic.gmarket.co.kr/v1/300/877/2104877300/01333/2104877300350962533300.jpg"" alt=""너무 좋아요 심심하면 커피 내려 먹을..."" onerror=""this.src=\'http://img.danawa.com/new/noData/img/noImg_160.gif\'"">']"
13812545	CoffeeMachine	네스카페 돌체구스토 지니오S 터치	포장도 꼼꼼하고,배송도 빠르네요♡ 돌체구스토지니오s터치...	포장도 꼼꼼하고,배송도 빠르네요♡ 돌체구스토지니오s터치 작고,넘 구여움~ 자리도 정말작게 차지하네요^^ 커피 오래오래 맛있게 내려먹을께요~ 같이 보내준 스타벅스 캡슐커피랑,수첩도  땡큐예요♡~	100	신세계TV쇼핑	2021.05.20.	******	[]
